 ,Descrição,Unidade,Quantidade,Valor Unitário,Valor Total,Classificação de Risco,Porcentagem Individual,Porcentagem Acumulada,Classificação,Classe,Corte,,Proporção de Códigos,Proporção de Valor
01-13-06-081 C H,TORNEIRA CROMADA DE MESA PARA LAVATàRIOCOM SENSOR DE PRESENCA. AF_01/2020 CS: 100854,UN,"2,00 ","R$ 1.527,29","R$ 3.054,58",Baixo,"31,28%","31,28%",A,A,80%,,"50,00%","77,33%"
63-19-01-303 O H,"FORRO ACéSTICO DE FIBRA MINERAL REMOVÖVEL, MODULA€ÇO 625 X 1250MM,APOIADO EM PERFIS METµLICOS TIPO T SUSPENSOS POR PERFIS RÖGIDOS,E=15MM",M2,"22,00 ","R$ 67,37","R$ 1.482,14",Médio,"15,18%","46,46%",A,B,95%,,"20,00%","14,06%"
64-23-74-016 O H,"RODAP EM POLIESTIRENO BRANCO 2,40M, H=10CM SANTA LUZIA OU EQUIVALENTE TCNICO - FORNECIMENTO E INSTALA€ÇO",M,"18,00 ","R$ 72,28","R$ 1.301,04",Baixo,"13,32%","59,79%",A,C,100%,,"30,00%","8,61%"
01-13-06-058 C H,"LAVATàRIO LOU€A BRANCA COM COLUNA, 45 X55CM OU EQUIVALENTE, PADRÇO MDIO, INCLUSO SIFÇO TIPO GARRAFA, VµLVULA E ENGATEFLEXÖVEL DE 40CM EM METAL CROMADO, COM APARELHO MISTURADOR PADRÇO MDIO - FORNEC",UN,"1,00 ","R$ 860,66","R$ 860,66",Baixo,"8,81%","68,60%",A,,,,,
01-19-03-008 C H,REVESTIMENTO CER¶MICO PARA PISO COM PLACAS TIPO ESMALTADA DE DIMENSåES 60X60 CMAPLICADA EM AMBIENTES DE µREA ENTRE 5 M2 E 10 M2. AF_02/2023_PE CS: 87256,M2,"16,00 ","R$ 53,25","R$ 852,00",Médio,"8,73%","77,33%",A,,,,,
62-23-65-080 O H,"REGULARIZA€ÇO DE BASE PARA PISOS C/ ARGAMASSA DE ALTA RESISTÒNCIA, TRA€O 1:3",M2,"16,00 ","R$ 51,85","R$ 829,60",Baixo,"8,50%","85,82%",B,,,,,
01-13-06-102 C H,"VASO SANITµRIO SIFONADO COM CAIXA ACOPLADA, LOU€A BRANCA - PADRÇO ALTO - FORNECIMENTO E INSTALA€ÇO. AF_01/2020 CS: 100878",UN,"1,00 ","R$ 543,54","R$ 543,54",Médio,"5,57%","91,39%",B,,,,,
64-23-74-017 O H,EMASSAMENTO DE PAREDES INTERNAS C/ MASSA ACRÖLICA DUAS DEMÇOS,M2,"30,00 ","R$ 17,12","R$ 513,60",Baixo,"5,26%","96,65%",C,,,,,
63-21-05-040 O H,"REJUNTAMENTO DE PISO CER¶MICO, COM CIMENTO BRANCO PARA JUNTAS DE AT 3MM",M2,"16,00 ","R$ 11,22","R$ 179,52",Baixo,"1,84%","98,49%",C,,,,,
01-13-06-077 C H,ASSENTO SANITµRIO CONVENCIONAL - FORNECIMENTO E INSTALACAO. AF_01/2020 CS: 100849,UN,"5,00 ","R$ 29,54","R$ 147,70",Baixo,"1,51%","100,00%",C,,,,,
,,,,Total,"R$ 9.764,38",,,,,,,,,
